ts	username	platform	ms_played	conn_country	ip_addr_decrypted	user_agent_decrypted	master_metadata_track_name	master_metadata_album_artist_name	master_metadata_album_album_name	spotify_track_uri	episode_name	episode_show_name	spotify_episode_uri	reason_start	reason_end	shuffle	skipped	offline	offline_timestamp	incognito_mode
2022-02-08T22:42:42Z	aspeera786	iOS 15.3 (iPhone14,5)	0	US	174.212.1.245	unknown	Maula Ya Salli Wa Sallim	Emil Mohammed	Maula Ya Salli Wa Sallim	spotify:track:5sQcs00xa3kYShenbVh3If				appload	trackerror	false		false	1644360155763	false
2022-02-08T22:59:24Z	aspeera786	iOS 15.3 (iPhone14,5)	20828	US	174.212.1.245	unknown	After Hardship Comes Ease	Saif Adam	Heart	spotify:track:4bKRucY6ZWxMk3gxBeGpo8				trackerror	logout	false		false	1644360161391	false
2022-02-08T23:04:04Z	aspeera786	iOS 15.3 (iPhone14,5)	194715	US	67.9.82.10	unknown	Fly	Siedd	Fly	spotify:track:1DQp5qcRkKE3MNKsjmb8ni				playbtn	trackdone	false		false	1644361176198	false
2022-02-08T23:10:26Z	aspeera786	iOS 15.3 (iPhone14,5)	257620	US	67.9.82.10	unknown	Dunya (feat. Ilyas Mao)	Omar Esa	Dunya (feat. Ilyas Mao)	spotify:track:7FRlAS1XUmXEK1h391OuGD				trackdone	trackdone	false		false	1644361443916	false
2022-02-08T23:13:24Z	aspeera786	iOS 15.3 (iPhone14,5)	177706	US	67.9.82.10	unknown	Seize The Day	Ilyas Mao	Seize The Day	spotify:track:6r8jEjsby5MlCUqCoy6iRH				trackdone	trackdone	false		false	1644361826094	false
2022-02-08T23:19:10Z	aspeera786	iOS 15.3 (iPhone14,5)	173294	US	67.9.82.10	unknown	Taking Over	Khāled Siddīq	Taking Over	spotify:track:2ddUJJWmpVk1GYTXuV4Znn				trackdone	trackdone	false		false	1644362004362	false
2022-02-08T23:20:10Z	aspeera786	iOS 15.3 (iPhone14,5)	173294	US	67.9.82.10	unknown	Taking Over	Khāled Siddīq	Taking Over	spotify:track:2ddUJJWmpVk1GYTXuV4Znn				trackdone	trackdone	false		false	1644362004362	false
2022-02-08T23:20:10Z	aspeera786	iOS 15.3 (iPhone14,5)	206785	US	67.9.82.10	unknown	My People	Essam	My People	spotify:track:1KnzEExnK98GmLEkBK67Ks				trackdone	trackdone	false		false	1644362178080	false
2022-02-08T23:25:24Z	aspeera786	iOS 15.3 (iPhone14,5)	32070	US	67.9.82.10	unknown	Maula Ya Salli Wa Sallim	Emil Mohammed	Maula Ya Salli Wa Sallim	spotify:track:5sQcs00xa3kYShenbVh3If				trackdone	endplay	false		false	1644362385457	false
2022-02-08T23:28:14Z	aspeera786	iOS 15.3 (iPhone14,5)	170024	US	67.9.82.10	unknown	I'll Just Be Me	Siedd	I'll Just Be Me	spotify:track:1Cbu7WolcQ6KQCzuEulRrQ				clickrow	trackdone	false		false	1644362722590	false
2022-02-08T23:31:34Z	aspeera786	iOS 15.3 (iPhone14,5)	199392	US	67.9.82.10	unknown	We Shall Rise	Muad	We Shall Rise	spotify:track:2UiImxEn0I9NrHT0fwvN92				trackdone	trackdone	false		false	1644362894376	false
2022-02-08T23:35:32Z	aspeera786	iOS 15.3 (iPhone14,5)	236879	US	67.9.82.10	unknown	Seasons	Ilyas Mao	Maktoob	spotify:track:0qEBhEIBLMmcdUSLK8a5oJ				trackdone	trackdone	false		false	1644363094210	false
2022-02-08T23:38:15Z	aspeera786	iOS 15.3 (iPhone14,5)	162666	US	67.9.82.10	unknown	Voices	Khāled Siddīq	Voices	spotify:track:2VkGMRtooWMuyBvylOnw1t				trackdone	trackdone	false		false	1644363331647	false
2022-02-08T23:41:31Z	aspeera786	iOS 15.3 (iPhone14,5)	195962	US	67.9.82.10	unknown	Free	Essam	Free	spotify:track:2WifILmKybWBpQFyu7X791				trackdone	trackdone	false		false	1644363494768	false
2022-02-08T23:44:23Z	aspeera786	iOS 15.3 (iPhone14,5)	171588	US	67.9.82.10	unknown	Going Home	Nadeem Mohammed	Going Home	spotify:track:2PdPMmaMcGaZVD2rHfDrGd				trackdone	trackdone	false		false	1644363691269	false
2022-02-08T23:47:18Z	aspeera786	iOS 15.3 (iPhone14,5)	174107	US	67.9.82.10	unknown	United Ummah	Omar Esa	United Ummah	spotify:track:31AKJtzgfQNuws6BGZfEaG				trackdone	trackdone	false		false	1644363863354	false
2022-02-08T23:50:51Z	aspeera786	iOS 15.3 (iPhone14,5)	140316	US	67.9.82.10	unknown	Alhumdulillah	Siedd	Journey	spotify:track:3Z0dbreZICsjb4oBzCnWXc				trackdone	trackdone	false		false	1644364037969	false
2022-02-08T23:54:23Z	aspeera786	iOS 15.3 (iPhone14,5)	20047	US	67.9.82.10	unknown	Ungrateful	Khalil Ismail Nasheed	Soul Submission	spotify:track:6vqhCXbCpAhEDxQc7g85sG				trackdone	fwdbtn	false		false	1644364251187	false
2022-02-08T23:54:24Z	aspeera786	iOS 15.3 (iPhone14,5)	448	US	67.9.82.10	unknown	How Far	Ilyas Mao	How Far	spotify:track:7FswaYNEy44XFI88n8jcvY				fwdbtn	fwdbtn	false		false	1644364463133	false
